,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE
329,Wisconsin,Outagamie County,149074.0,2010,176908,5690475,0.0311,4634.48
330,Georgia,Forsyth County,255546.0,2010,176723,9711881,0.0182,4650.06
331,Washington,Benton County,192689.0,2010,176465,6742830,0.0262,5042.82
332,California,Imperial County,121904.0,2010,174716,37319502,0.0047,570.71
333,Ohio,Delaware County,255433.0,2010,175099,11539336,0.0152,3875.97
334,Indiana,Tippecanoe County,129497.0,2010,173104,6490432,0.0267,3453.77
335,Florida,Hernando County,103492.0,2010,172969,18845537,0.0092,949.88
336,Ohio,Medina County,173192.0,2010,172509,11539336,0.0149,2589.16
337,Tennessee,Montgomery County,155217.0,2010,173159,6355311,0.0272,4229.1
338,Michigan,Muskegon County,86132.0,2010,171913,9877510,0.0174,1499.08
339,Pennsylvania,Beaver County,113216.0,2010,170630,12711160,0.0134,1519.77
340,Pennsylvania,Monroe County,168477.0,2010,169849,12711160,0.0134,2251.22
341,Illinois,McLean County,159081.0,2010,169810,12840503,0.0132,2103.78
342,South Dakota,Minnehaha County,156225.0,2010,169955,816166,0.2082,32531.64
343,North Carolina,Johnston County,159116.0,2010,169678,9574323,0.0177,2819.88
344,Florida,Bay County,176179.0,2010,169206,18845537,0.009,1581.84
345,North Carolina,Pitt County,130690.0,2010,168863,9574323,0.0176,2304.99
346,Maryland,Carroll County,304989.0,2010,167213,5788645,0.0289,8810.03
347,Wisconsin,Winnebago County,121255.0,2010,167073,5690475,0.0294,3560.06
348,Ohio,Licking County,140553.0,2010,166705,11539336,0.0144,2030.52
349,Wisconsin,Kenosha County,153993.0,2010,166626,5690475,0.0293,4509.16
350,Rhode Island,Kent County,206409.0,2010,166030,1053959,0.1575,32515.58
351,Connecticut,Middlesex County,301242.0,2010,165616,3579114,0.0463,13939.34
352,Iowa,Scott County,135304.0,2010,165272,3050745,0.0542,7330.0
353,Indiana,Porter County,171562.0,2010,164487,6490432,0.0253,4347.9
354,North Carolina,Davidson County,123892.0,2010,162840,9574323,0.017,2107.15
355,Missouri,Boone County,163596.0,2010,163203,5995974,0.0272,4452.88
356,Delaware,Kent County,202165.0,2010,162956,899593,0.1811,36621.0
357,South Carolina,Beaufort County,282275.0,2010,162829,4635649,0.0351,9915.02
358,Ohio,Greene County,154032.0,2010,161588,11539336,0.014,2156.95
359,Ohio,Portage County,148219.0,2010,161386,11539336,0.014,2072.95
